Comment,Designator,Footprint,JLCPCB Part #
10uF,"C1,C2,C3,C4",C0603,C19702
1N5819WS,D1,SOD-323_L1.8-W1.3-LS2.5-RD,C191023
WAFER-PH2.0-2PWB,H4,CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,C3029440
0603White light_C2290,"LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13",LED0603-R-RD_WHITE,C2290
19-217/BHC-ZL1M2RY/3T,LED14,LED0603-FD_BLUE,C72041
200kΩ,"R1,R4,R6",R0603,C25811
100kΩ,"R2,R5",R0603,C25803
1kΩ,"R7,R8,R9,R10,R11,R12,R15",R0603,C21190
5.6kΩ,"R13,R14",R0603,C23189
2kΩ,R16,R0603,C22975
0805G (Green),LED1,LED0805-RD_GREEN,C2297
2n3904S-RTK/PS_C18536,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,C18536
MSK12C02,SW1,SW-TH_MSK12C02,C431540
NE555DR,U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C7593
MCP73831T-2ATI/OT,U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C14879
USB3.1C16PFSMT,USBC1,USB-C-SMD_TYPE-C-USB-17,C167321
