Designator,Mid X,Mid Y,Layer,Rotation
C1,29.34mm,79.3mm,T,180
C2,29.34mm,75.79mm,T,180
C3,39.12mm,57.91mm,T,90
C4,46.48mm,57.91mm,T,90
D1,26.67mm,51.31mm,T,270
H4,43.43mm,64.52mm,T,90
LED1,39.88mm,72.52mm,T,180
LED2,19.3mm,70.23mm,T,0
LED3,23.54mm,70.23mm,T,0
LED4,27.77mm,70.23mm,T,0
LED5,32mm,70.23mm,T,0
LED6,31.96mm,64.33mm,T,0
LED7,27.73mm,64.33mm,T,0
LED8,23.5mm,64.33mm,T,0
LED9,19.3mm,64.33mm,T,0
LED10,19.3mm,58.42mm,T,0
LED11,23.5mm,58.42mm,T,0
LED12,27.73mm,58.42mm,T,0
LED13,31.96mm,58.42mm,T,0
LED14,42.55mm,53.86mm,T,180
Q1,41.15mm,77.47mm,T,0
Q2,16.64mm,76.53mm,T,180
R1,36.83mm,75.73mm,T,0
R2,36.83mm,79.25mm,T,0
R4,33.02mm,75.73mm,T,180
R5,33.02mm,79.25mm,T,0
R6,16.13mm,79.25mm,T,0
R7,20.83mm,67.28mm,T,0
R8,25.78mm,67.28mm,T,0
R9,30.73mm,67.28mm,T,0
R10,20.83mm,61.37mm,T,0
R11,25.78mm,61.37mm,T,0
R12,30.73mm,61.37mm,T,0
R13,29.21mm,51.02mm,T,90
R14,31.5mm,51.02mm,T,90
R15,46.48mm,54.48mm,T,270
R16,39.17mm,54.48mm,T,90
SW1,38.1mm,49.28mm,T,0
U2,23.37mm,77.6mm,T,270
U3,42.67mm,57.4mm,T,0
USBC1,19.69mm,50.8mm,T,0
